Symbol	ID	Name	Synonyms	Chromosome	Category
CCL4	6351	C-C motif chemokine ligand 4	ACT2|AT744.1|G-26|HC21|LAG-1|LAG1|MIP-1-beta|MIP1B|MIP1B1|SCYA2|SCYA4	17	Antimicrobials
CCL16	6360	C-C motif chemokine ligand 16	CKb12|HCC-4|ILINCK|LCC-1|LEC|LMC|Mtn-1|NCC-4|NCC4|SCYA16|SCYL4	17	Antimicrobials
CCL19	6363	C-C motif chemokine ligand 19	CKb11|ELC|MIP-3b|MIP3B|SCYA19	9	Antimicrobials
CCL13	6357	C-C motif chemokine ligand 13	CKb10|MCP-4|NCC-1|NCC1|SCYA13|SCYL1	17	Antimicrobials
CCL18	6362	C-C motif chemokine ligand 18	AMAC-1|AMAC1|CKb7|DC-CK1|DCCK1|MIP-4|PARC|SCYA18	17	Antimicrobials
CCL17	6361	C-C motif chemokine ligand 17	A-152E5.3|ABCD-2|SCYA17|TARC	16	Antimicrobials
CCL26	10344	C-C motif chemokine ligand 26	IMAC|MIP-4a|MIP-4alpha|SCYA26|TSC-1	7	Antimicrobials
CCL22	6367	C-C motif chemokine ligand 22	A-152E5.1|ABCD-1|DC/B-CK|MDC|SCYA22|STCP-1	16	Antimicrobials
CCR3	1232	C-C motif chemokine receptor 3	C C CKR3|CC-CKR-3|CD193|CKR 3|CKR3|CMKBR3	3	Antimicrobials
CCL28	56477	C-C motif chemokine ligand 28	CCK1|MEC|SCYA28	5	Antimicrobials
CCL4L1	388372	C-C motif chemokine ligand 4 like 1	AT744.2|CCL4L|LAG-1|LAG1|MIP-1-beta|SCYA4L|SCYA4L1|SCYA4L2	17	Antimicrobials
ACKR2	1238	atypical chemokine receptor 2	CCBP2|CCR10|CCR9|CMKBR9|D6|hD6	3	Antimicrobials
CCR7	1236	C-C motif chemokine receptor 7	BLR2|CC-CKR-7|CCR-7|CD197|CDw197|CMKBR7|EBI1	17	Antimicrobials
CCL27	10850	C-C motif chemokine ligand 27	ALP|CTACK|CTAK|ESKINE|ILC|PESKY|SCYA27	9	Antimicrobials
CCR8	1237	C-C motif chemokine receptor 8	CC-CKR-8|CCR-8|CDw198|CKRL1|CMKBR8|CMKBRL2|CY6|GPRCY6|TER1	3	Antimicrobials
ACKR4	51554	atypical chemokine receptor 4	CC-CKR-11|CCBP2|CCR-11|CCR10|CCR11|CCRL1|CCX CKR|CCX-CKR|CKR-11|PPR1|VSHK1	3	Antimicrobials
CCR10	2826	C-C motif chemokine receptor 10	GPR2	17	Antimicrobials
CCL2	6347	C-C motif chemokine ligand 2	GDCF-2|HC11|HSMCR30|MCAF|MCP-1|MCP1|SCYA2|SMC-CF	17	Antimicrobials
CCL21	6366	C-C motif chemokine ligand 21	6Ckine|CKb9|ECL|SCYA21|SLC|TCA4	9	Antimicrobials
CCL7	6354	C-C motif chemokine ligand 7	FIC|MARC|MCP-3|MCP3|NC28|SCYA6|SCYA7	17	Antimicrobials
CCL5	6352	C-C motif chemokine ligand 5	D17S136E|RANTES|SCYA5|SIS-delta|SISd|TCP228|eoCP	17	Antimicrobials
CCL3	6348	C-C motif chemokine ligand 3	G0S19-1|LD78ALPHA|MIP-1-alpha|MIP1A|SCYA3	17	Antimicrobials
CCL20	6364	C-C motif chemokine ligand 20	CKb4|Exodus|LARC|MIP-3-alpha|MIP-3a|MIP3A|SCYA20|ST38	2	Antimicrobials
CCL11	6356	C-C motif chemokine ligand 11	SCYA11	17	Antimicrobials
CCR5	1234	C-C motif chemokine receptor 5	CC-CKR-5|CCCKR5|CCR-5|CD195|CKR-5|CKR5|CMKBR5|IDDM22	3	Antimicrobials
CCL23	6368	C-C motif chemokine ligand 23	CK-BETA-8|CKb8|Ckb-8|Ckb-8-1|MIP-3|MIP3|MPIF-1|SCYA23|hmrp-2a	17	Antimicrobials
CCL25	6370	C-C motif chemokine ligand 25	Ckb15|SCYA25|TECK	19	Antimicrobials
CCL1	6346	C-C motif chemokine ligand 1	I-309|P500|SCYA1|SISe|TCA3	17	Antimicrobials
CCL3L3	414062	C-C motif chemokine ligand 3 like 3	464.2|D17S1718|G0S19-2|LD78|LD78BETA|SCYA3L|SCYA3L1	17	Antimicrobials
CCL4L2	9560	C-C motif chemokine ligand 4 like 2	AT744.2|CCL4L|SCYA4L|SCYQ4L2	17	Antimicrobials
CXCL12	6387	C-X-C motif chemokine ligand 12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1	10	Antimicrobials
XCL1	6375	X-C motif chemokine ligand 1	ATAC|LPTN|LTN|SCM-1|SCM-1a|SCM1|SCM1A|SCYC1	1	Antimicrobials
CCL8	6355	C-C motif chemokine ligand 8	HC14|MCP-2|MCP2|SCYA10|SCYA8	17	Antimicrobials
CCL3L1	6349	C-C motif chemokine ligand 3 like 1	464.2|D17S1718|G0S19-2|LD78|LD78-beta(1-70)|LD78BETA|MIP1AP|SCYA3L|SCYA3L1	17	Antimicrobials
CCR1	1230	C-C motif chemokine receptor 1	CD191|CKR-1|CKR1|CMKBR1|HM145|MIP1aR|SCYAR1	3	Antimicrobials
CCL24	6369	C-C motif chemokine ligand 24	Ckb-6|MPIF-2|MPIF2|SCYA24	7	Antimicrobials
XCL2	6846	X-C motif chemokine ligand 2	SCM-1b|SCM1B|SCYC2	1	Antimicrobials
CXCL1	2919	C-X-C motif chemokine ligand 1	FSP|GRO1|GROa|MGSA|MGSA-a|NAP-3|SCYB1	4	Antimicrobials
CXCL10	3627	C-X-C motif chemokine ligand 10	C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1	4	Antimicrobials
CXCR4	7852	C-X-C motif chemokine receptor 4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS	2	Antimicrobials
CXCL2	2920	C-X-C motif chemokine ligand 2	CINC-2a|GRO2|GROb|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2	4	Antimicrobials
CXCR6	10663	C-X-C motif chemokine receptor 6	BONZO|CD186|STRL33|TYMSTR	3	Antimicrobials
CCR4	1233	C-C motif chemokine receptor 4	CC-CKR-4|CD194|CKR4|CMKBR4|ChemR13|HGCN:14099|K5-5	3	Antimicrobials
CXCL11	6373	C-X-C motif chemokine ligand 11	H174|I-TAC|IP-9|IP9|SCYB11|SCYB9B|b-R1	4	Antimicrobials
TAFA5	25817	TAFA chemokine like family member 5	FAM19A5|QLLK5208|TAFA-5|UNQ5208	22	Antimicrobials
TAFA3	284467	TAFA chemokine like family member 3	FAM19A3|TAFA-3	1	Antimicrobials
TAFA4	151647	TAFA chemokine like family member 4	FAM19A4|TAFA-4	3	Antimicrobials
TAFA1	407738	TAFA chemokine like family member 1	FAM19A1|TAFA-1	3	Antimicrobials
TAFA2	338811	TAFA chemokine like family member 2	FAM19A2|TAFA-2	12	Antimicrobials
CCL15-CCL14	348249	CCL15-CCL14 readthrough (NMD candidate)	CCL15|HCC-2|LKN-1|MIP-5|MIP5|Mrp-2b|NCC-3|NCC3|SCYA15	17	Antimicrobials
IL6	3569	interleukin 6	BSF-2|BSF2|CDF|HGF|HSF|IFN-beta-2|IFNB2|IL-6	7	Antimicrobials
TNF	7124	tumor necrosis factor	DIF|TNF-alpha|TNFA|TNFSF2|TNLG1F	6	Antimicrobials
IL1B	3553	interleukin 1 beta	IL-1|IL1-BETA|IL1F2|IL1beta	2	Antimicrobials
IL18	3606	interleukin 18	IGIF|IL-18|IL-1g|IL1F4	11	Antimicrobials
PTK2B	2185	protein tyrosine kinase 2 beta	CADTK|CAKB|FADK2|FAK2|PKB|PTK|PYK2|RAFTK	8	Antimicrobials
VEGFA	7422	vascular endothelial growth factor A	MVCD1|VEGF|VPF	6	Antimicrobials
IL4	3565	interleukin 4	BCGF-1|BCGF1|BSF-1|BSF1|IL-4	5	Antimicrobials
CDH1	999	cadherin 1	Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO	16	Antimicrobials
CD40	958	CD40 molecule	Bp50|CDW40|TNFRSF5|p50	20	Antimicrobials
DEFB103B	55894	defensin beta 103B	BD-3|DEFB-3|DEFB103|DEFB3|HBD-3|HBD3|HBP-3|HBP3	8	Antimicrobials
F2RL1	2150	F2R like trypsin receptor 1	GPR11|PAR2	5	Antimicrobials
MMP9	4318	matrix metallopeptidase 9	CLG4B|GELB|MANDP2|MMP-9	20	Antimicrobials
LTBP1	4052	latent transforming growth factor beta binding protein 1	-	2	Antimicrobials
DEFB4A	1673	defensin beta 4A	BD-2|DEFB-2|DEFB102|DEFB2|DEFB4|HBD-2|SAP1	8	Antimicrobials
TNFSF10	8743	TNF superfamily member 10	APO2L|Apo-2L|CD253|TL2|TNLG6A|TRAIL	3	Antimicrobials
IL13	3596	interleukin 13	IL-13|P600	5	Antimicrobials
IL10	3586	interleukin 10	CSIF|GVHDS|IL-10|IL10A|TGIF	1	Antimicrobials
IL2	3558	interleukin 2	IL-2|TCGF|lymphokine	4	Antimicrobials
PPARG	5468	peroxisome proliferator activated receptor gamma	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARG5|PPARgamma	3	Antimicrobials
FGR	2268	"FGR proto-oncogene, Src family tyrosine kinase"	SRC2|c-fgr|c-src2|p55-Fgr|p55c-fgr|p58-Fgr|p58c-fgr	1	Antimicrobials
MIF	4282	macrophage migration inhibitory factor	GIF|GLIF|MMIF	22	Antimicrobials
CRP	1401	C-reactive protein	PTX1	1	Antimicrobials
JAK2	3717	Janus kinase 2	JTK10|THCYT3	9	Antimicrobials
IL1A	3552	interleukin 1 alpha	IL-1 alpha|IL-1A|IL1|IL1-ALPHA|IL1F1	2	Antimicrobials
PTK2	5747	protein tyrosine kinase 2	FADK|FAK|FAK1|FRNK|PPP1R71|p125FAK|pp125FAK	8	Antimicrobials
PTGDR	5729	prostaglandin D2 receptor	AS1|ASRT1|DP|DP1|PTGDR1	14	Antimicrobials
CD86	942	CD86 molecule	B7-2|B7.2|B70|CD28LG2|LAB72	3	Antimicrobials
HCK	3055	"HCK proto-oncogene, Src family tyrosine kinase"	JTK9|p59Hck|p61Hck	20	Antimicrobials
ARRB1	408	arrestin beta 1	ARB1|ARR1	11	Antimicrobials
GNAI1	2770	G protein subunit alpha i1	Gi	7	Antimicrobials
VDR	7421	vitamin D receptor	NR1I1|PPP1R163	12	Antimicrobials
OLR1	4973	oxidized low density lipoprotein receptor 1	CLEC8A|LOX1|LOXIN|SCARE1|SLOX1	12	Antimicrobials
GRK2	156	G protein-coupled receptor kinase 2	ADRBK1|BARK1|BETA-ARK1	11	Antimicrobials
TXK	7294	TXK tyrosine kinase	BTKL|PSCTK5|PTK4|RLK|TKL	4	Antimicrobials
RNASE2	6036	ribonuclease A family member 2	EDN|RAF3|RNS2	14	Antimicrobials
CD79A	973	CD79a molecule	IGA|MB-1	19	BCRSignalingPathway
CD79B	974	CD79b molecule	AGM6|B29|IGB	17	BCRSignalingPathway
LYN	4067	"LYN proto-oncogene, Src family tyrosine kinase"	JTK8|p53Lyn|p56Lyn	8	BCRSignalingPathway
SYK	6850	spleen associated tyrosine kinase	p72-Syk	9	BCRSignalingPathway
BTK	695	Bruton tyrosine kinase	AGMX1|AT|ATK|BPK|IGHD3|IMD1|PSCTK1|XLA	X	BCRSignalingPathway
BLNK	29760	B cell linker	AGM4|BASH|BLNK-S|LY57|SLP-65|SLP65|bca	10	BCRSignalingPathway
VAV3	10451	vav guanine nucleotide exchange factor 3	-	1	BCRSignalingPathway
VAV1	7409	vav guanine nucleotide exchange factor 1	VAV	19	BCRSignalingPathway
VAV2	7410	vav guanine nucleotide exchange factor 2	VAV-2	9	BCRSignalingPathway
RAC1	5879	Rac family small GTPase 1	MIG5|MRD48|Rac-1|TC-25|p21-Rac1	7	BCRSignalingPathway
RAC2	5880	Rac family small GTPase 2	EN-7|Gx|HSPC022|p21-Rac2	22	BCRSignalingPathway
RAC3	5881	Rac family small GTPase 3	-	17	BCRSignalingPathway
PPP3CA	5530	protein phosphatase 3 catalytic subunit alpha	ACCIID|CALN|CALNA|CALNA1|CCN1|CNA1|IECEE|IECEE1|PPP2B	4	BCRSignalingPathway
PPP3CB	5532	protein phosphatase 3 catalytic subunit beta	CALNA2|CALNB|CNA2|PP2Bbeta	10	BCRSignalingPathway
PPP3CC	5533	protein phosphatase 3 catalytic subunit gamma	CALNA3|CNA3|PP2Bgamma	8	BCRSignalingPathway
CHP1	11261	calcineurin like EF-hand protein 1	CHP|SLC9A1BP|SPAX9|Sid470p|p22|p24	15	BCRSignalingPathway
PPP3R1	5534	"protein phosphatase 3 regulatory subunit B, alpha"	CALNB1|CNB|CNB1	2	BCRSignalingPathway
PPP3R2	5535	"protein phosphatase 3 regulatory subunit B, beta"	PPP3RL	9	BCRSignalingPathway
CHP2	63928	calcineurin like EF-hand protein 2	-	16	BCRSignalingPathway
NFAT5	10725	nuclear factor of activated T cells 5	NF-AT5|NFATL1|NFATZ|OREBP|TONEBP	16	BCRSignalingPathway
NFATC1	4772	nuclear factor of activated T cells 1	NF-ATC|NF-ATc1.2|NFAT2|NFATc	18	BCRSignalingPathway
NFATC2	4773	nuclear factor of activated T cells 2	NFAT1|NFATP	20	BCRSignalingPathway
NFATC3	4775	nuclear factor of activated T cells 3	NF-AT4c|NFAT4|NFATX	16	BCRSignalingPathway
NFATC4	4776	nuclear factor of activated T cells 4	NF-AT3|NF-ATC4|NFAT3	14	BCRSignalingPathway
HRAS	3265	"HRas proto-oncogene, GTPase"	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras	11	BCRSignalingPathway
KRAS	3845	"KRAS proto-oncogene, GTPase"	'C-K-RAS|C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|K-Ras|K-Ras 2|KI-RAS|KRAS1|KRAS2|NS|NS3|OES|RALD|RASK2|c-Ki-ras|c-Ki-ras2	12	BCRSignalingPathway
NRAS	4893	"NRAS proto-oncogene, GTPase"	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6	1	BCRSignalingPathway
FOS	2353	"Fos proto-oncogene, AP-1 transcription factor subunit"	AP-1|C-FOS|p55	14	BCRSignalingPathway
JUN	3725	"Jun proto-oncogene, AP-1 transcription factor subunit"	AP-1|AP1|c-Jun|cJUN|p39	1	BCRSignalingPathway
CARD11	84433	caspase recruitment domain family member 11	BENTA|BIMP3|CARMA1|IMD11|IMD11A|PPBL	7	BCRSignalingPathway
BCL10	8915	BCL10 immune signaling adaptor	CARMEN|CIPER|CLAP|IMD37|c-E10|mE10	1	BCRSignalingPathway
MALT1	10892	MALT1 paracaspase	IMD12|MLT|MLT1|PCASP1	18	BCRSignalingPathway
CHUK	1147	component of inhibitor of nuclear factor kappa B kinase complex	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16	10	BCRSignalingPathway
IKBKB	3551	inhibitor of nuclear factor kappa B kinase subunit beta	IKK-beta|IKK2|IKKB|IMD15|IMD15A|IMD15B|NFKBIKB	8	BCRSignalingPathway
IKBKG	8517	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	AMCBX1|EDAID1|FIP-3|FIP3|Fip3p|IKK-gamma|IKKAP1|IKKG|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	X	BCRSignalingPathway
NFKB1	4790	nuclear factor kappa B subunit 1	CVID12|EBP-1|KBF1|NF-kB|NF-kB1|NF-kappa-B1|NF-kappaB|NF-kappabeta|NFKB-p105|NFKB-p50|NFkappaB	4	BCRSignalingPathway
RELA	5970	"RELA proto-oncogene, NF-kB subunit"	CMCU|NFKB3|p65	11	BCRSignalingPathway
NFKBIA	4792	NFKB inhibitor alpha	EDAID2|IKBA|MAD-3|NFKBI	14	BCRSignalingPathway
NFKBIB	4793	NFKB inhibitor beta	IKBB|TRIP9	19	BCRSignalingPathway
NFKBIE	4794	NFKB inhibitor epsilon	IKBE	6	BCRSignalingPathway
CD81	975	CD81 molecule	CVID6|S5.7|TAPA1|TSPAN28	11	BCRSignalingPathway
CD19	930	CD19 molecule	B4|CVID3	16	BCRSignalingPathway
CR2	1380	complement C3d receptor 2	C3DR|CD21|CR|CVID7|SLEB9	1	BCRSignalingPathway
PIK3R5	23533	phosphoinositide-3-kinase regulatory subunit 5	F730038I15Rik|FOAP-2|P101-PI3K|p101	17	BCRSignalingPathway
PIK3R1	5295	phosphoinositide-3-kinase regulatory subunit 1	AGM7|GRB1|IMD36|p85|p85-ALPHA	5	BCRSignalingPathway
PIK3R2	5296	phosphoinositide-3-kinase regulatory subunit 2	MPPH|MPPH1|P85B|p85|p85-BETA	19	BCRSignalingPathway
PIK3R3	8503	phosphoinositide-3-kinase regulatory subunit 3	p55|p55-GAMMA|p55PIK	1	BCRSignalingPathway
PIK3CA	5290	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"	CLAPO|CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|PI3K-alpha|p110-alpha	3	BCRSignalingPathway
PIK3CB	5291	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	P110BETA|PI3K|PI3KBETA|PIK3C1	3	BCRSignalingPathway
PIK3CD	5293	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"	APDS|IMD14|P110DELTA|PI3K|p110D	1	BCRSignalingPathway
PIK3CG	5294	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"	PI3CG|PI3K|PI3Kgamma|PIK3|p110gamma|p120-PI3K	7	BCRSignalingPathway
AKT3	10000	AKT serine/threonine kinase 3	MPPH|MPPH2|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	1	BCRSignalingPathway
AKT1	207	AKT serine/threonine kinase 1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	14	BCRSignalingPathway
AKT2	208	AKT serine/threonine kinase 2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	19	BCRSignalingPathway
GSK3B	2932	glycogen synthase kinase 3 beta	-	3	BCRSignalingPathway
INPP5D	3635	inositol polyphosphate-5-phosphatase D	SHIP|SHIP-1|SHIP1|SIP-145|hp51CN|p150Ship	2	BCRSignalingPathway
CD22	933	CD22 molecule	SIGLEC-2|SIGLEC2	19	BCRSignalingPathway
CD72	971	CD72 molecule	CD72b|LYB2	9	BCRSignalingPathway
PTPN6	5777	protein tyrosine phosphatase non-receptor type 6	HCP|HCPH|HPTP1C|PTP-1C|SH-PTP1|SHP-1|SHP-1L|SHP1	12	BCRSignalingPathway
LILRB3	11025	leukocyte immunoglobulin like receptor B3	CD85A|HL9|ILT-5|ILT5|LILRA6|LIR-3|LIR3|PIR-B|PIRB	19	BCRSignalingPathway
FCGR2B	2213	Fc fragment of IgG receptor IIb	CD32|CD32B|FCG2|FCGR2|FCGR2C|FcRII-c|IGFR2	1	BCRSignalingPathway
RASGRP3	25780	RAS guanyl releasing protein 3	GRP3	2	BCRSignalingPathway
PLCG2	5336	phospholipase C gamma 2	APLAID|FCAS3|PLC-IV|PLC-gamma-2	16	BCRSignalingPathway
PRKCB	5579	protein kinase C beta	PKC-beta|PKCB|PKCI(2)|PKCbeta|PRKCB1|PRKCB2	16	BCRSignalingPathway
IFITM1	8519	interferon induced transmembrane protein 1	9-27|CD225|DSPA2a|IFI17|LEU13	11	BCRSignalingPathway
IGH	3492	immunoglobulin heavy locus	IGD1|IGH.1@|IGH@|IGHD@|IGHDY1|IGHJ|IGHJ@|IGHV|IGHV@	14	BCRSignalingPathway
IGHA1	3493	immunoglobulin heavy constant alpha 1	IgA1	14	BCRSignalingPathway
IGHA2	3494	immunoglobulin heavy constant alpha 2 (A2m marker)	-	14	BCRSignalingPathway
IGHD	3495	immunoglobulin heavy constant delta	-	14	BCRSignalingPathway
IGHD1-1	28510	immunoglobulin heavy diversity 1-1	IGHD11	14	BCRSignalingPathway
IGHD1-14	28508	immunoglobulin heavy diversity 1-14 (non-functional)	DM2|IGHD114	14	BCRSignalingPathway
IGHD1-20	28507	immunoglobulin heavy diversity 1-20	IGHD120	14	BCRSignalingPathway
IGHD1-26	28506	immunoglobulin heavy diversity 1-26	IGHD126	14	BCRSignalingPathway
IGHD1-7	28509	immunoglobulin heavy diversity 1-7	DM1|IGHD17	14	BCRSignalingPathway
IGHD2-15	28503	immunoglobulin heavy diversity 2-15	D2|IGHD215	14	BCRSignalingPathway
IGHD2-2	28505	immunoglobulin heavy diversity 2-2	IGHD22	14	BCRSignalingPathway
IGHD2-21	28502	immunoglobulin heavy diversity 2-21	IGHD221	14	BCRSignalingPathway
IGHD2-8	28504	immunoglobulin heavy diversity 2-8	DLR1|IGHD28	14	BCRSignalingPathway
IGHD3-10	28499	immunoglobulin heavy diversity 3-10	DXP'1|IGHD310	14	BCRSignalingPathway
IGHD3-16	28498	immunoglobulin heavy diversity 3-16	IGHD316	14	BCRSignalingPathway
IGHD3-22	28497	immunoglobulin heavy diversity 3-22	IGHD322	14	BCRSignalingPathway
IGHD3-3	28501	immunoglobulin heavy diversity 3-3	DXP4|IGHD33	14	BCRSignalingPathway
IGHD3-9	28500	immunoglobulin heavy diversity 3-9	DXP1|IGHD39	14	BCRSignalingPathway
IGHD4-11	28495	immunoglobulin heavy diversity 4-11 (non-functional)	DA1|IGHD411	14	BCRSignalingPathway
IGHD4-17	28494	immunoglobulin heavy diversity 4-17	IGHD417	14	BCRSignalingPathway
IGHD4-23	28493	immunoglobulin heavy diversity 4-23 (non-functional)	IGHD423	14	BCRSignalingPathway
IGHD4-4	28496	immunoglobulin heavy diversity 4-4	DA4|IGHD44	14	BCRSignalingPathway
IGHD5-12	28491	immunoglobulin heavy diversity 5-12	DK1|IGHD512	14	BCRSignalingPathway
IGHD5-18	28490	immunoglobulin heavy diversity 5-18	IGHD518	14	BCRSignalingPathway
IGHD5-24	28489	immunoglobulin heavy diversity 5-24 (non-functional)	IGHD524	14	BCRSignalingPathway
IGHD5-5	28492	immunoglobulin heavy diversity 5-5	DK4|IGHD55	14	BCRSignalingPathway
IGHD6-13	28487	immunoglobulin heavy diversity 6-13	DN1|IGHD613	14	BCRSignalingPathway
IGHD6-19	28486	immunoglobulin heavy diversity 6-19	IGHD619	14	BCRSignalingPathway
IGHD6-25	28485	immunoglobulin heavy diversity 6-25	IGHD625	14	BCRSignalingPathway
IGHD6-6	28488	immunoglobulin heavy diversity 6-6	D(N4)|IGHD66	14	BCRSignalingPathway
IGHD7-27	28484	immunoglobulin heavy diversity 7-27	DHQ52|IGHD727	14	BCRSignalingPathway
IGHE	3497	immunoglobulin heavy constant epsilon	IgE	14	BCRSignalingPathway
IGHG1	3500	immunoglobulin heavy constant gamma 1 (G1m marker)	-	14	BCRSignalingPathway
IGHG2	3501	immunoglobulin heavy constant gamma 2 (G2m marker)	-	14	BCRSignalingPathway
IGHG3	3502	immunoglobulin heavy constant gamma 3 (G3m marker)	IgG3	14	BCRSignalingPathway
IGHG4	3503	immunoglobulin heavy constant gamma 4 (G4m marker)	-	14	BCRSignalingPathway
IGHJ1	28483	immunoglobulin heavy joining 1	JH1	14	BCRSignalingPathway
IGHJ2	28481	immunoglobulin heavy joining 2	JH2	14	BCRSignalingPathway
IGHJ3	28479	immunoglobulin heavy joining 3	JH3b	14	BCRSignalingPathway
IGHJ4	28477	immunoglobulin heavy joining 4	JH4b	14	BCRSignalingPathway
IGHJ5	28476	immunoglobulin heavy joining 5	JH5b	14	BCRSignalingPathway
IGHJ6	28475	immunoglobulin heavy joining 6	JH6b	14	BCRSignalingPathway
IGHM	3507	immunoglobulin heavy constant mu	AGM1|MU|VH	14	BCRSignalingPathway
IGH	3492	immunoglobulin heavy locus	IGD1|IGH.1@|IGH@|IGHD@|IGHDY1|IGHJ|IGHJ@|IGHV|IGHV@	14	BCRSignalingPathway
IGHV1-18	28468	immunoglobulin heavy variable 1-18	IGHV118	14	BCRSignalingPathway
IGHV1-2	28474	immunoglobulin heavy variable 1-2	IGHV12|V35	14	BCRSignalingPathway
IGHV1-24	28467	immunoglobulin heavy variable 1-24	IGHV124|VH	14	BCRSignalingPathway
IGHV1-3	28473	immunoglobulin heavy variable 1-3	IGHV13|VI-3B	14	BCRSignalingPathway
IGHV1-45	28466	immunoglobulin heavy variable 1-45	IGHV145|VH	14	BCRSignalingPathway
IGHV1-46	28465	immunoglobulin heavy variable 1-46	IGHV146	14	BCRSignalingPathway
IGHV1-58	28464	immunoglobulin heavy variable 1-58	IGHV158|VH	14	BCRSignalingPathway
IGHV1-69	28461	immunoglobulin heavy variable 1-69	IGHV1-E|IGHV169|IGHV1E	14	BCRSignalingPathway
IGHV1-8	28472	immunoglobulin heavy variable 1-8	IGHV18	14	BCRSignalingPathway
IGHV1-38-4	28460	immunoglobulin heavy variable 1-38-4 (non-functional)	IGHV1-C|IGHV1C	14	BCRSignalingPathway
IGHV1-69-2	28458	immunoglobulin heavy variable 1-69-2	IGHV1-F|IGHV1F	14	BCRSignalingPathway
IGHV2-26	28455	immunoglobulin heavy variable 2-26	IGHV226|VH	14	BCRSignalingPathway
IGHV2-5	28457	immunoglobulin heavy variable 2-5	IGHV25|VH	14	BCRSignalingPathway
IGHV2-70	28454	immunoglobulin heavy variable 2-70	IGHV270|VH	14	BCRSignalingPathway
IGHV3-11	28450	immunoglobulin heavy variable 3-11	IGHV311|VH	14	BCRSignalingPathway
IGHV3-13	28449	immunoglobulin heavy variable 3-13	IGHV313	14	BCRSignalingPathway
IGHV3-15	28448	immunoglobulin heavy variable 3-15	IGHV315|VH	14	BCRSignalingPathway
IGHV3-16	28447	immunoglobulin heavy variable 3-16 (non-functional)	IGHV316|VH	14	BCRSignalingPathway
IGHV3-20	28445	immunoglobulin heavy variable 3-20	IGHV320|VH	14	BCRSignalingPathway
IGHV3-21	28444	immunoglobulin heavy variable 3-21	IGHV321|VH	14	BCRSignalingPathway
IGHV3-23	28442	immunoglobulin heavy variable 3-23	DP47|IGHV323|V3-23|VH26	14	BCRSignalingPathway
IGHV3-30	28439	immunoglobulin heavy variable 3-30	IGHV330|VH	14	BCRSignalingPathway
IGHV3-30-3	57290	immunoglobulin heavy variable 3-30-3	IGHV3-3|IGHV3303	14	BCRSignalingPathway
IGHV3-30-5	89770	immunoglobulin heavy variable 3-30-5	IGHV3-3|IGHV3305	14	BCRSignalingPathway
IGHV3-33	28434	immunoglobulin heavy variable 3-33	IGHV333|VH	14	BCRSignalingPathway
IGHV3-35	28432	immunoglobulin heavy variable 3-35 (non-functional)	IGHV335|VH	14	BCRSignalingPathway
IGHV3-38	28429	immunoglobulin heavy variable 3-38 (non-functional)	IGHV338|VH	14	BCRSignalingPathway
IGHV3-43	28426	immunoglobulin heavy variable 3-43	IGHV343|VH	14	BCRSignalingPathway
IGHV3-48	28424	immunoglobulin heavy variable 3-48	IGHV348|VH	14	BCRSignalingPathway
IGHV3-49	28423	immunoglobulin heavy variable 3-49	IGHV349|VH	14	BCRSignalingPathway
IGHV3-53	28420	immunoglobulin heavy variable 3-53	IGHV353|VH	14	BCRSignalingPathway
IGHV3-64	28414	immunoglobulin heavy variable 3-64	IGHV364|VH	14	BCRSignalingPathway
IGHV3-66	28412	immunoglobulin heavy variable 3-66	IGHV366|VH	14	BCRSignalingPathway
IGHV3-7	28452	immunoglobulin heavy variable 3-7	IGHV37|VH	14	BCRSignalingPathway
IGHV3-72	28410	immunoglobulin heavy variable 3-72	IGHV372|VH	14	BCRSignalingPathway
IGHV3-73	28409	immunoglobulin heavy variable 3-73	IGHV373|VH	14	BCRSignalingPathway
IGHV3-74	28408	immunoglobulin heavy variable 3-74	IGHV374|VH	14	BCRSignalingPathway
